Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
007319,THURSTON ELEVATOR CONCEPTS INC,ELEVATOR MAINTENACE SERVICES,"Elevator services, maintenance and repairs, including modernization. Three year agreement approved by Council 3/2/15 includes compensation of $330,000.  PLUS 15% contingency for $49,500.  On Nov. 6, 2017 Council approved amend. #1 for additional $140,500.",A,profsvcs,03/27/2015,06/30/2020,2,05/22/2019,"330,000.00","640,500.00",Facilities & Field Services
007381,SUPERION LLC,TRAKIT PERMITTING SYSTEM TRAINING,"TRAKit permitting system, report writing,  training and consulting services.
Vendor number changed from CRW Systems, Inc. #323018 to SunGard #325105 on 8/8/15. OK'd by C. Safriet.
Consent to assignment is in file.",A,profsvcs,05/06/2015,12/31/2019,3,01/08/2019,"50,000.00","100,000.00",Information Technology
007385,"CARTEGRAPH SYSTEMS, INC.",UPGRADE WORK ORDER AND ASSET MANAGEMENT SOFTWARE,"Enhancements to City's work order and asset management software for daily street maintenance and operations functions.  Council approved contract total includes $20,000. contingency for other professional services related to the application needed during the contract term.  Not to exceed total covers the six year contract period.",A,profsvcs,05/11/2015,05/05/2022,0,,"358,920.00","358,920.00",Information Technology
007392,SAN VICENTE CLUB LLC,PARKING LICENSE AGREEMENT 815 PALM AVENUE LOT,"Parking license agreement for lease and operation of surface lot at 815 Palm Avenue for public parking.  Lease amount is $7,500. per month. plus 100% Net Revenue minus the $7500 flat fee.  Term is for one year commencing on 4/16/15 and then month-to-month.",A,lease,05/19/2015,04/01/2021,4,07/03/2018,"90,000.00","90,000.00",Parking
007421,LA PLANT COMPANY,CITY HALL PLANT MAINTENANCE,Maintenance of plants in City Hall,A,profsvcs,06/08/2015,06/30/2021,2,06/20/2019,"25,000.00","25,000.00",Facilities & Field Services
007423,TREDENT DATA SYSTEMS INC,HARDWARE AND SOFTWARE SUPPORT CITY SWITCHES,Hardware and software support for City switches.,A,web/tech,06/09/2015,06/03/2021,2,05/08/2018,"7,969.00","20,000.00",Information Technology
007425,IT'S A WONDERFUL WORLD INC,MOU AND LOAN AGREEMENT FOR ARTWORK,Loan of artwork for exhibit at Library. Agreement was extended by Amendment #1,A,profsvcs,06/11/2015,10/15/2029,3,05/01/2019,0.00,0.00,Arts
007480,ABM ONSITE SERVICES-WEST INC,OPERATION OF CITY'S PARKING FACILITIES,"Operation of City's parking facilities including staffing, revenue collection, security and maintenance, special events, shuttle services and offsite parking at Gateway.",A,profsvcs,06/24/2015,06/30/2020,3,06/08/2018,"2,092,574.00","6,296,456.00",Parking
007509,"MOUNTAIN MEDIA, LLC",TECHNICAL SERVICES FOR AV EQUIPMENT FIESTA HALL,Provide technical services for sound and lighting equipment in Fiesta Hall.,A,profsvcs,07/08/2015,12/30/2019,3,01/23/2019,"10,000.00","24,500.00",Recreation Services
007514,THE AMANDA FOUNDATION,ANIMAL SHELTERING AND CARE,Sheltering and medical care of animals found in West Hollywood.,A,profsvcs,07/20/2015,06/30/2021,1,06/26/2018,"15,000.00","30,000.00",Code Compliance
007533,JOHN KALISKI ARCHITECTS,METRO SITE FEASIBILITY ALTERNATIVES,Development of feasibility alternatives for redevelopment of the Metro site.,A,profsvcs,07/30/2015,12/30/2019,3,01/23/2019,"25,000.00","25,000.00",Current & Historic Preservation Planning
007539,ATHENS SERVICES,DOG WASTE STATION MAINTENANCE,Maintenance of dog waste stations.  Daily maintenance to 78 stations.,A,profsvcs,07/31/2015,06/30/2021,2,06/20/2019,"493,746.00","1,440,122.00",Facilities & Field Services
007559,AUTHENTIC AGENCY INC,HALLOWEEN CARNAVAL PRODUCTION 2015-17,"Production of Halloween Carnaval 2015, 2016 and 2017. $493,800. per year for 3 years.  (Note:  Contingency funds up to 15% per year are allowed under contract terms, that is $493,800 base fee X 15% = $74,070. per year).",A,specevents,08/26/2015,12/31/2019,3,01/17/2018,"1,481,400.00","2,926,204.00",Event & Film Services
007561,"MOORE, IACOFANO, GOLTSMAN, INC",LANDSCAPE ARCHITECT FOR ON CALL SERVICES,"Landscape architects for on-call services including water conservation, assessing options to turf on street medians.",A,profsvcs,08/26/2015,06/30/2021,2,06/05/2019,"150,000.00","200,000.00",Facilities & Field Services
007586,MANERI SIGN CO INC,SIGN FABRICATION,For regulatory and custom sign fabrication.,A,profsvcs,09/14/2015,06/30/2020,2,10/01/2018,"129,574.00","129,574.00",Facilities & Field Services
007590,UNITED SITE SERVICES OF,FENCE AND SITE SERVICES,Fence and site services from rental contractor.,A,profsvcs,09/17/2015,06/30/2020,3,06/20/2019,"25,000.00","30,000.00",Facilities & Field Services
007598,MNR CONSTRUCTION INC,EMERGENCY SEWER REPAIR ON-CALL SERVICES,On-call emergency sewer repair and construction services to supplement City's maintenance agreements with LA County.,A,pworks,09/24/2015,09/30/2019,1,09/15/2017,"100,000.00","100,000.00",Engineering
007599,W A RASIC CONSTRUCTION INC,EMERGENCY SEWER REPAIR AND CONSTRUCTION,For on-call emergency sewer repair and construction maintenance service.,A,pworks,09/24/2015,09/30/2019,1,09/28/2017,"100,000.00","100,000.00",Engineering
007607,TIME WARNER NY CABLE LLC,INTERNET SERVICE FOR AUTOMATED PARKING STRUCTURE,Five year agreement to provide internet service at the new automated parking structure,A,web/tech,09/30/2015,09/30/2020,1,10/28/2015,"25,000.00","25,000.00",Information Technology
007680,WILLIAMS SIGN CO.,FOR STORAGE OF NEON SIGN DURING CONSTRUCTION,For storage of neon chicken head sign during construction.,A,profsvcs,11/05/2015,06/30/2020,6,12/21/2018,"3,500.00","11,655.00",Arts
007681,GATSO USA INC,AUTOMATED RED LIGHT CAMERA ENFORCEMENT,"Provide enforcement services for automated red light camera at 8 approaches.  Amendment 1 revises the initial term to March 1, 2017 when cameras were first operational, revises the expiration to 2/28/22.",A,profsvcs,11/06/2015,02/28/2022,1,07/21/2017,"2,373,640.00","2,373,640.00",Engineering
007709,BIZODO INC SEAMLESS DOCS,ELECTRONIC SIGNATURE PROCESS FOR IT FORMS,"Electronic signature process for IT forms, includes maintenance support.",A,web/tech,11/17/2015,11/19/2021,2,11/21/2018,"5,000.00","20,750.00",Information Technology
007717,DEGENKOLB ENGINEERS,SEISMIC SURVEY AND DEVELOP RETROFIT PROGRAM,Survey of existing buildings and development of seismic retrofit program.,A,profsvcs,11/19/2015,12/31/2019,4,07/31/2019,"192,670.00","816,370.00",Building & Safety
007724,CYCLEHOP LLC,PUBLIC BIKE SHARE FOR SMART BIKE SELF SERVICE PROGRAM,"Public bike share system - For purchase, installation, operation and maintenance of 150 smart bikes at 20 self service station locations.",A,profsvcs,11/20/2015,08/09/3019,0,,"1,593,340.00","1,593,340.00",Long Range Planning
007735,SOCRATA/ WHOLLY SUBSIDIARY,OPEN DATA PORTAL FOR MOBILE APPS,Renewal of Open Data portal allowing public datasets and mobile apps for general public.,A,web/tech,12/10/2015,12/31/2020,2,09/28/2017,"21,954.00","111,844.00",Information Technology
007777,WEST BASIN MUNICIPAL WATR DIST,GRANT FOR OCEAN FRIENDLY GARDEN DEMONSTRATION PROJECT,Grant from West Basic Municipal Water District for drought landscaping demonstration project.,A,profsvcs,01/15/2016,06/30/2020,0,,0.00,0.00,Facilities & Field Services
007810,SO CALIFORNIA EDISON-PROJECTS,PERMISSION TO OPERATE GENERATING FACILITY,Permission to operate generating facility 1085 Sweetzer Ave. - solar panel interconnection agreement for the automated parking garage.,A,profsvcs,02/10/2016,01/01/3000,0,,0.00,0.00,Parking
007860,FOUNDATION FOR AIDS MONUMENT,MOU FOR NATIONAL AIDS MONUMENT,"MOU for development and construction of AIDS monument as component of West Hollywood Park master plan phase II implementation project.   Amend. #1 was approved by Council on 6/15/15.  
Note: Vendor name was changed to Foundation for The AIDS Monument 1/30/17. No other changes.",A,profsvcs,03/23/2016,12/31/2020,1,03/23/2016,0.00,0.00,Assistant City Manager
007950,HDL SOFTWARE LLC,PROVIDE BUSINESS TAX SOFTWARE,"Provide business tax software, create rent stabilization and business tax online payment website and related implementation.",A,profsvcs,05/17/2016,06/30/2021,1,11/17/2016,"114,153.00","122,513.00",Revenue Management
007959,"MESHAR, HELYNE","ADVOCACY AND LOBBYING, LEGISLATION MONITORING","Advocacy and lobbying, legislation monitoring serivces. FY 2016-17 $163,741.47; FY 2017-18 an equal amount plus COLA.",A,profsvcs,05/24/2016,10/31/2020,3,11/29/2018,"333,214.00","742,719.00",Legal Services
007979,CHARGEPOINT INC,LICENSE FOR EV CHARGING STATIONS,License agreement for installation of charging stations.  Contractor will remit 20% of gross station revenue to City.,A,profsvcs,06/03/2016,04/05/2021,0,,0.00,0.00,Facilities & Field Services
007998,AAA FLAG & BANNER MFG. CO. INC,FOR BANNER INSTALLATIONS AND REMOVAL,For banner installations and removal. Amend. #3 includes language requiring a written bid for each project prior to commencing work.,A,profsvcs,06/16/2016,10/31/2019,4,10/02/2019,"25,000.00","80,000.00",Facilities & Field Services
008000,SMOKE GUARD CALIFORNIA,SERVICE AND REPAIRS TO LIBRARY SMOKE GUARD DOORS,Service and repairs to Library smoke guard doors.,A,profsvcs,06/16/2016,06/30/2021,1,04/09/2019,"25,000.00","25,000.00",Facilities & Field Services
008004,HP COMMUNICATIONS INC,DESIGN & INSTALL FIBER NETWORK INFRASTRUCTURE,Design and install fiber network infrastructure and other telecommunications services.,A,web/tech,06/17/2016,06/20/2021,2,07/09/2019,"350,000.00","650,000.00",Information Technology
008020,ANDREWS TECHNOLOGY HMS INC,IMPLEMENT TIME AND ATTENDANCE SOFTWARE NOVATIME,"Implement NOVAtime software for time and attendance system.  Annual licensing, maintenance, hosting and support. First year $37,755.  plus $5,000. contingency. Second thru 5th years $19,580. per year.",A,web/tech,06/21/2016,06/30/2022,2,06/08/2018,"121,075.00","124,075.00",Finance Administration
008021,GLADWELL GOVERNMENTAL SVCS INC,CONSULTANTS SERVICES FOR RENT STUDY,Phase two of Costa Hawkins Study of rent stabilized properties.,A,profsvcs,06/21/2016,06/30/2020,2,08/24/2018,"10,000.00","20,000.00",Rent Stabilization & Housing
008031,LPA INC,ARCHITECTURAL DESIGN FOR CITY PROJECTS,On-call architectural design for City projects,A,profsvcs,06/29/2016,06/30/2020,2,09/06/2018,"500,000.00","1,000,000.00",Facilities & Field Services
008041,SOCIAL VOCATIONAL SVC INC,FIELD SERVICE CREWS,"Field service crews for litter pick up and minor maintenance.  $348,174.50 per year for each of two years.",A,profsvcs,06/30/2016,06/30/2020,2,07/20/2018,"696,349.00","1,103,233.00",Facilities & Field Services
008042,ALLISON MECHANICAL INC,HVAC MAINTENANCE AND REPAIR,Maintenance and repairs to City HVAC systems.,A,profsvcs,06/30/2016,06/30/2020,1,10/18/2017,"63,012.00","238,239.00",Facilities & Field Services
008051,WESTERN AV,AV EQUIPMENT SERVICE REPAIR AND EXTENDED WARRANTY,Three year equipment extended warranty and service repair contract for West Hollywood Library.,A,profsvcs,07/18/2016,06/30/2020,1,05/28/2019,"108,810.00","108,810.00",Facilities & Field Services
008055,UPSCO POWERSAFE SYSTEMS INC,LIBRARY EMERGENCY LIGHTING SERVICE AND REPAIR,Service and repair to the Library emergency lighting system.,A,profsvcs,07/19/2016,06/30/2020,2,06/11/2018,"17,000.00","50,000.00",Facilities & Field Services
008056,"ECS IMAGING, INC",DOCUMENT IMAGING FOR CDD,Scan and index CDD paper files.,A,profsvcs,07/20/2016,12/31/2019,1,07/30/2018,"118,684.00","118,684.00",Planning & Development Services Administration
008057,TIME WARNER NY CABLE LLC,INTERNET DISASTER RECOVERY AT PLUMMER PARK,Three year disaster recovery internet connection at Plummer Park.  Amend. #1 revises the number of IPs from 61 to 29.,A,web/tech,07/20/2016,09/30/2019,2,10/11/2017,"25,000.00","25,000.00",Information Technology
008067,JOHNSON CONTROLS,HVAC MAINTENANCE AND REPAIR FOR WEST ZONE,"HVAC maintenance and repairs at West Hollywood Park and Library.  Amend. #1 approved by Council on July 17, 2017 increases contract amount for West Zone, & extends the agreement.",A,profsvcs,07/26/2016,06/30/2020,2,02/21/2019,"108,965.00","516,193.00",Facilities & Field Services
008069,PSOMAS,ON-CALL ARCHITECTURAL AND ENGINEERING SERVICES,For on-call architectural and engineering services.,A,profsvcs,07/28/2016,06/30/2020,3,01/25/2019,"150,000.00","700,000.00",Facilities & Field Services
008070,JOHNSON CONTROLS,HVAC MAINTENANCE AND SERVICE CENTRAL ZONE,"For maintenance and repairs for HVAC systems in City Central Zone, including City Hall.",A,pworks,07/28/2016,06/30/2020,1,07/20/2017,"55,710.00","280,710.00",Facilities & Field Services
008088,SMART WAVE TECHNOLOGIES LLC,WIFI AND NETWORK DESIGN AND MANAGEMENT,"WiFi and network design, maintenance and troubleshooting, includes installation and project management.",A,web/tech,08/11/2016,07/29/2019,0,,"10,000.00","10,000.00",Information Technology
008095,SOFTWAREONE INC,MICROSOFT SOFTWARE LICENSING AGENCY AGREEMENT,"Purchasing Microsoft licensing through statewide multi-agency volume purchasing agreement. Council approved contract amount of $84,602.71 per year plus additional $25,000. Change Order per year.  Three year agreement.",A,zgovpurag,08/18/2016,10/31/2019,1,05/07/2019,"253,808.00","323,808.00",Information Technology
008100,NETFILE INC,ELECTRONIC FILING OF CAMPAIGN STATEMENTS,"For development and maintenance of electronic campaign filing statements, includes form 700's. For maintenance of database, track filings, allow for Internet public viewing.",A,profsvcs,08/18/2016,07/01/2021,0,,"37,500.00","37,500.00",City Clerk
008114,"*DO NOT USE*APPLE COMPUTER INC, USE VENDOR NO. 307966",LOCAL GOVERNMENT PURCHASING AGREEMENT,For local government purchasing agreement.,A,web/tech,08/26/2016,08/23/2019,0,,0.00,0.00,Information Technology
008116,HAVENHURST LLC,PUBLIC PARK LEASE 1351 HAVENHURST,"Lease of 1351 Havenhurst as Public Park above underground private parking structure. Rent is payment of the loan guaranty and $1 per year for 99 years. City is responsible for all taxes, utilities and expenses.",A,lease,08/31/2016,06/07/2109,0,,"340,099.00","340,099.00",Facilities & Field Services
008117,1140 FORMOSA INC,GROUND LEASE LOAN GUARANTY 1140 FORMOSA AVE,"Lease of 1140 Formosa Ave as Public Park above underground private parking structure. Rent is payment of the loan guaranty and $1/year for 99 years.  City is responsible for all taxes, utilities and expenses.",A,lease,08/31/2016,05/23/2110,0,,"340,099.00","340,099.00",Facilities & Field Services
008118,CITY OF LA - (DO NOT USE),PARK LEASE-HART PARK- 8341 DE LONGPRE AVE,"Lease of Hart Park at 8341 De Longpre Ave to operate, use, maintain and improve the land and building as a public park.  No rent.  Term is 10 years, each 5 years thereafter until 30th year automatically renewing.",A,lease,08/31/2016,12/04/2019,0,,0.00,0.00,Facilities & Field Services
008119,LA CO/PUBLIC WORKS,PARKING LOTS CO LEASE -  MELROSE AVENUE,"Lease of two WH parking lots on Melrose Avenue (one between Robertson and San Vicente, one between La Jolla and Havenhurst).  Base minimum rent $25,000. per year.",A,lease,08/31/2016,02/05/2051,0,,"1,375,000.00","1,375,000.00",Parking
008120,REGENCY OUTDOOR,PUBLIC SURFACE PARKING QUEENS LOT LEASE 8459 SUNSET BLVD,Lease of 8459 Sunset Blvd. owned by West Hollywood Properties LLC and Regency Outdoor Advertising Agency.  Rent is $1 per yar.  Queens Lot,A,lease,08/31/2016,08/01/2038,0,,30.00,30.00,Parking
