Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
"sa;2017;conex20175200000867;""
diversos reactivos para laboratorio microbiologia;servicio aragonés de salud;negociado;suministros;35.240,33;35.240,15;https://servicios.aragon.es/pcon/pcon-public/;"";werfen españa s.a.u.;2017;conex20175200000867;""
diversos reactivos para laboratorio microbiologia;servicio aragonés de salud;negociado;suministros;126.163,12;114.805,52;https://servicios.aragon.es/pcon/pcon-public/;"";suministros clinicos lanau sl;2017;conex20175200000867;""
diversos reactivos para laboratorio microbiologia;servicio aragonés de salud;negociado;suministros;54.960,57;54.706,78;https://servicios.aragon.es/pcon/pcon-public/;"";thermo fisher diagnostics, s.l.u.;2017;conex20175200000867;""
tubos de drenaje;servicio aragonés de salud;abierto;suministros;10.345,50;6.435,00;https://servicios.aragon.es/pcon/pcon-public/;"";iht medical s.a.;2017;conex20175200000683;""
tubos de drenaje;servicio aragonés de salud;abierto;suministros;7.012,20;4.950,00;https://servicios.aragon.es/pcon/pcon-public/;"";leleman s.l.;2017;conex20175200000683;""
tubos de drenaje;servicio aragonés de salud;abierto;suministros;197.457,45;119.464,65;https://servicios.aragon.es/pcon/pcon-public/;"";intersurgical españa s.l.;2017;conex20175200000683;""
tubos de drenaje;servicio aragonés de salud;abierto;suministros;3.150,62;2.817,75;https://servicios.aragon.es/pcon/pcon-public/;"";izasa hospital s.l.u.;2017;conex20175200000683;""
vigilancia y seguridad;servicio aragonés de salud;negociado;servicios;127.617,55;127.596,96;https://servicios.aragon.es/pcon/pcon-public/;"";cia vigilancia aragonesa s.l.;2017;conex20175200000756;""
servicio de dialisis peritoneal;servicio aragonés de salud;abierto;servicios;796.901,26;796.052,01;https://servicios.aragon.es/pcon/pcon-public/;"";baxter sl;2017;conex20175200000744;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;6.801,32;6.786,32;https://servicios.aragon.es/pcon/pcon-public/;"";b braun medical s.a.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;772,69;772,65;https://servicios.aragon.es/pcon/pcon-public/;"";bard de españa sa;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.184,04;1.184,04;https://servicios.aragon.es/pcon/pcon-public/;"";suministros hospitalarios sa;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;18.882,43;18.277,26;https://servicios.aragon.es/pcon/pcon-public/;"";el corte ingles s.a.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.349,24;1.349,24;https://servicios.aragon.es/pcon/pcon-public/;"";gral electric healthcare españa",,,,,,,2017,,
"s.a;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;2.852,40;2.851,45;https://servicios.aragon.es/pcon/pcon-public/;"";medtronic iberica s.a.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.139,67;307,10;https://servicios.aragon.es/pcon/pcon-public/;"";amevisa s.a.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.890,40;1.888,00;https://servicios.aragon.es/pcon/pcon-public/;"";crivel s.a.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;13.315,79;12.050,58;https://servicios.aragon.es/pcon/pcon-public/;"";baxter sl;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.243,00;1.243,00;https://servicios.aragon.es/pcon/pcon-public/;"";bestmedic sl;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.566,65;1.450,00;https://servicios.aragon.es/pcon/pcon-public/;"";medical mix, sl;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;1.300,00;1.300,00;https://servicios.aragon.es/pcon/pcon-public/;"";linde medica s.l.u.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;4.545,30;4.473,80;https://servicios.aragon.es/pcon/pcon-public/;"";intersurgical españa s.l.;2017;conex20175200000747;""
varios servicios material desechable diverso sanitario;servicio aragonés de salud;abierto;suministros;14.600,00;14.600,00;https://servicios.aragon.es/pcon/pcon-public/;"";inibsa hospital s.l;2017;conex20175200000747;""
suturas mecanicas y material para laparoscopia;servicio aragonés de salud;abierto;suministros;1.700,00;1.700,00;https://servicios.aragon.es/pcon/pcon-public/;"";teleflex medical s.a.;2017;conex20175200000748;""
suturas mecanicas y material para laparoscopia;servicio aragonés de salud;abierto;suministros;5.309,92;5.309,90;https://servicios.aragon.es/pcon/pcon-public/;"";prim s.a.;2017;conex20175200000748;""
s4/2017 redaccion proyecto mejora regulac red abaztec fueva;instituto aragonés del agua;por administración;servicios;39.747,98;39.747,98;https://servicios.aragon.es/pcon/pcon-public/;"";sdad aragonesa de",,,,,,,2017,,
"gestion;2017;conad20177200000018;""
adecuación aulas 2017: adquisición de 10 pantallas de proyección;educación, cultura y deporte;derivado de acuerdo marco;suministros;2.608,40;590,00;https://servicios.aragon.es/pcon/pcon-public/;"";c.l.d.",,,,,,,2017,,
"sl;2017;conad20171800000511;""
equipo multifuncion;desarrollo rural y sostenibilidad;derivado de acuerdo marco;suministros;3.653,00;3.653,00;https://servicios.aragon.es/pcon/pcon-public/;"";solitium s.l.;2017;conad20171400000309;""
elementos institucionales centros secundaria;educación, cultura y deporte;derivado de acuerdo marco;suministros;208,00;208,00;https://servicios.aragon.es/pcon/pcon-public/;"";el secretario s.l.;2017;conad20171800000634;""
vacuna pentavalente;sanidad;negociado;suministros;179.360,00;179.360,00;https://servicios.aragon.es/pcon/pcon-public/;"";sanofi aventis s.a.;2017;conlt20171600000219;""
vacuna frente a difteria, tétanos, tosferina acelular de contenido antigéni;sanidad;negociado;suministros;418.600,00;418.600,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conlt20171600000220;""
dgd suministro homolo pizarra;educación, cultura y deporte;derivado de acuerdo marco;suministros;101,73;101,73;https://servicios.aragon.es/pcon/pcon-public/;"";torres equipamientos de oficinas;2017;conad20171800000773;""
banquetas y taburetes centros infantil y primaria;educación, cultura y deporte;derivado de acuerdo marco;suministros;880,00;632,00;https://servicios.aragon.es/pcon/pcon-public/;"";imasoto s.a.;2017;conad20171800000603;""
elementos institucionales centros infantil y primaria;educación, cultura y deporte;derivado de acuerdo marco;suministros;715,00;715,00;https://servicios.aragon.es/pcon/pcon-public/;"";el secretario",,,,,,,2017,,
"s.l.;2017;conad20171800000604;""
redacción y elaboración pgs olba;vertebración del territorio, movilidad y vivienda;derivado de acuerdo marco;servicios;25.952,00;25.952,00;https://servicios.aragon.es/pcon/pcon-public/;"";fernandez vazquez",,,,,,,2017,,
"aranzazu;2017;conad20171300000181;""
prendas de trabajo guardas monumentos s.prov. huesca;educación, cultura y deporte;derivado de acuerdo marco;suministros;203,85;203,85;https://servicios.aragon.es/pcon/pcon-public/;"";prolafri sl;2017;conad20171800000579;""
vacuna frente a haemophilus influenzae tipo b conjugada;sanidad;negociado;suministros;3.845,00;3.845,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conlt20171600000221;""
vacuna frente a hepatitis a para edad pediátrica;sanidad;negociado;suministros;58.300,00;58.300,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conlt20171600000223;""
vacuna conjugada frente a meningococo c;sanidad;negociado;suministros;375.700,00;375.700,00;https://servicios.aragon.es/pcon/pcon-public/;"";pfizer, s.l.u.;2017;conlt20171600000227;""
vacuna virus del papiloma humano;sanidad;negociado;suministros;583.200,00;583.200,00;https://servicios.aragon.es/pcon/pcon-public/;"";glaxosmithkline, s.a.;2017;conlt20171600000228;""
redacción y elaboración pgs maluenda;vertebración del territorio, movilidad y vivienda;derivado de acuerdo marco;servicios;25.952,00;25.952,00;https://servicios.aragon.es/pcon/pcon-public/;"";fernandez vazquez",,,,,,,2017,,
"aranzazu;2017;conad20171300000171;""
redacción y elaboración pgs paracuellos de jiloca;vertebración del territorio, movilidad y vivienda;derivado de acuerdo marco;servicios;24.800,00;24.800,00;https://servicios.aragon.es/pcon/pcon-public/;"";calidad y estudios asesoria",,,,,,,2017,,
"sl;2017;conad20171300000176;""
redacción y elaboración pgs peñarroya de tastavins;vertebración del territorio, movilidad y vivienda;derivado de acuerdo marco;servicios;24.200,00;24.200,00;https://servicios.aragon.es/pcon/pcon-public/;"";perfil 7 estudio ingenieria,",,,,,,,2017,,
"s.l.;2017;conad20171300000179;""
146 rb74088 trabajos proyectos poctefa: habios y ecogyp 2017;desarrollo rural y sostenibilidad;por administración;servicios;70.772,01;70.772,01;https://servicios.aragon.es/pcon/pcon-public/;"";sdad aragonesa de",,,,,,,2017,,
"gestion;2017;conad20171400000370;""
dgd suministro homologado archivador;educación, cultura y deporte;derivado de acuerdo marco;suministros;180,20;180,20;https://servicios.aragon.es/pcon/pcon-public/;"";torres equipamientos de oficinas;2017;conad20171800000772;""
protesis de rodilla ptr alta flexion posteroestabilizada;servicio aragonés de salud;negociado;suministros;350.000,00;350.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";johnson & johnson s.a.;2017;conex20175200000868;""
diverso material coronario para hemodinamica;servicio aragonés de salud;negociado;suministros;13.774,00;13.774,00;https://servicios.aragon.es/pcon/pcon-public/;"";abbott laboratories s.a.;2017;conex20175200000869;""
diverso material coronario para hemodinamica;servicio aragonés de salud;negociado;suministros;247.070,00;247.070,00;https://servicios.aragon.es/pcon/pcon-public/;"";medtronic iberica s.a.;2017;conex20175200000869;""
diverso material coronario para hemodinamica;servicio aragonés de salud;negociado;suministros;1.560,00;1.560,00;https://servicios.aragon.es/pcon/pcon-public/;"";merce v. electromedicina sl;2017;conex20175200000869;""
diverso material coronario para hemodinamica;servicio aragonés de salud;negociado;suministros;9.268,00;9.267,71;https://servicios.aragon.es/pcon/pcon-public/;"";world medica, s.l.;2017;conex20175200000869;""
pulsera identificacion niño y adulto;servicio aragonés de salud;abierto;suministros;44.603,90;35.668,75;https://servicios.aragon.es/pcon/pcon-public/;"";etiduero s.l.;2017;conex20175200000871;""
pulsera identificacion niño y adulto;servicio aragonés de salud;abierto;suministros;25.256,90;25.256,90;https://servicios.aragon.es/pcon/pcon-public/;"";components sanitaris engloba, s.l.;2017;conex20175200000871;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;197.093,01;163.432,00;https://servicios.aragon.es/pcon/pcon-public/;"";cook españa s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;37.173,37;34.742,18;https://servicios.aragon.es/pcon/pcon-public/;"";iberhospitex s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;51.649,28;39.270,00;https://servicios.aragon.es/pcon/pcon-public/;"";bard de españa sa;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;9.043,94;8.876,40;https://servicios.aragon.es/pcon/pcon-public/;"";prim s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;43.700,39;43.559,22;https://servicios.aragon.es/pcon/pcon-public/;"";medtronic iberica s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;14.096,73;14.044,72;https://servicios.aragon.es/pcon/pcon-public/;"";vygon s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;3.118,19;3.118,08;https://servicios.aragon.es/pcon/pcon-public/;"";palex medical, s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;123.295,47;87.680,00;https://servicios.aragon.es/pcon/pcon-public/;"";b braun surgical s.a.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;188.622,51;184.819,80;https://servicios.aragon.es/pcon/pcon-public/;"";st. jude medical españa, sa;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;173.096,70;172.779,50;https://servicios.aragon.es/pcon/pcon-public/;"";boston_scientific iberica sa;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;15.570,77;15.570,10;https://servicios.aragon.es/pcon/pcon-public/;"";w.l. gore y asociados s.l.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;14.435,95;14.323,35;https://servicios.aragon.es/pcon/pcon-public/;"";carefusion iberica, 308 s.l.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;442.709,98;442.709,98;https://servicios.aragon.es/pcon/pcon-public/;"";terumo europe españa s.l.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;3.518,70;3.518,10;https://servicios.aragon.es/pcon/pcon-public/;"";edwards lifesciences s.l.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;3.840,00;3.776,00;https://servicios.aragon.es/pcon/pcon-public/;"";logsa endomedica sl;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;44.386,51;43.680,00;https://servicios.aragon.es/pcon/pcon-public/;"";izasa hospital s.l.u.;2017;conex20175200000872;""
material diagnostico para hemodinamica;servicio aragonés de salud;abierto;suministros;89.827,80;86.077,50;https://servicios.aragon.es/pcon/pcon-public/;"";cardinal health spain 511, s.l.;2017;conex20175200000872;""
gases medicinales;servicio aragonés de salud;abierto;suministros;91.167,20;80.683,01;https://servicios.aragon.es/pcon/pcon-public/;"";contse, s.a.;2017;conex20175200000874;""
gases medicinales;servicio aragonés de salud;abierto;suministros;893.233,53;843.017,00;https://servicios.aragon.es/pcon/pcon-public/;"";messer iberica de gases s.a.u.;2017;conex20175200000874;""
reenvasadora de medicamentos;servicio aragonés de salud;abierto;suministros;120.000,00;120.000,00;https://servicios.aragon.es/pcon/pcon-public/;"";grifols movaco s.a.;2017;conex20175200000876;""
realizacion pruebas analiticas en laboratorio externo;servicio aragonés de salud;abierto;servicios;140.743,49;125.754,48;https://servicios.aragon.es/pcon/pcon-public/;"";reference laboratory s.a.;2017;conex20175200000879;""
diversas etiquetas;servicio aragonés de salud;negociado;suministros;548,04;548,04;https://servicios.aragon.es/pcon/pcon-public/;"";perez orduña, tomas (jopi);2017;conex20175200000807;""
diversas etiquetas;servicio aragonés de salud;negociado;suministros;2.672,73;2.672,67;https://servicios.aragon.es/pcon/pcon-public/;"";steris iberia sa;2017;conex20175200000807;""
diversas etiquetas;servicio aragonés de salud;negociado;suministros;26.330,24;25.543,98;https://servicios.aragon.es/pcon/pcon-public/;"";normedan s.l.;2017;conex20175200000807;""
diversas etiquetas;servicio aragonés de salud;negociado;suministros;3.108,26;2.621,88;https://servicios.aragon.es/pcon/pcon-public/;"";aplicaciones electronicas europa s.;2017;conex20175200000807;""
diversas etiquetas;servicio aragonés de salud;negociado;suministros;7.332,00;7.332,00;https://servicios.aragon.es/pcon/pcon-public/;"";marvax s.l.;2017;conex20175200000807;""
suministro de productos congelados para la cocina del hrv;servicio aragonés de salud;negociado;suministros;27.095,23;26.537,60;https://servicios.aragon.es/pcon/pcon-public/;"";distribuciones rodrigo",,,,,,,2017,,
"s.a.;2017;conex20175200000828;""
suministro de frutas y verduras para el hº royo villanova;servicio aragonés de salud;negociado;suministros;23.658,46;21.289,65;https://servicios.aragon.es/pcon/pcon-public/;"";frutas calvo s.l.;2017;conex20175200000829;""
serv. mant. integral endoscopios digetivo h.r.v.;servicio aragonés de salud;negociado;servicios;275.481,81;272.727,00;https://servicios.aragon.es/pcon/pcon-public/;"";olympus iberia, s.a.u.;2017;conex20175200000890;""
sum. lacteos y derivados cocina hrv.;servicio aragonés de salud;negociado;suministros;14.163,66;11.901,80;https://servicios.aragon.es/pcon/pcon-public/;"";distribuciones rodrigo s.a.;2017;conex20175200000891;""
sum. aceite, bebidas y zumos cocina hrv.;servicio aragonés de salud;negociado;suministros;3.697,73;3.679,35;https://servicios.aragon.es/pcon/pcon-public/;"";aceites ajd s.l.;2017;conex20175200000892;""
sum. aceite, bebidas y zumos cocina hrv.;servicio aragonés de salud;negociado;suministros;14.302,64;4.784,75;https://servicios.aragon.es/pcon/pcon-public/;"";agustin dominguez rodriguez sl;2017;conex20175200000892;""
servicio de vigilancia y seguridad del hu miguel servet;servicio aragonés de salud;negociado;servicios;677.170,48;677.170,48;https://servicios.aragon.es/pcon/pcon-public/;"";garda servicios de seguridad",,,,,,,2017,,
"s.a.;2017;conex20175200000906;""
servicio vigilancia hospital ""obispo polanco""",SERVICIO ARAGONÉS DE SALUD,Contratación centralizada,Servicios,97528.52,95879.2,ILUNION SEGURIDAD S.A.,2017,CONEX20175200000949,
mantenimiento jardineria centros sector huesca,SERVICIO ARAGONÉS DE SALUD,Negociado,Servicios,56000.0,54172.19,SERVICIOS INTEGRALES FINCAS ARAGON,2017,CONEX20175200000794,
material sanitario general diverso,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,3764.12,3725.0,ABBOTT LABORATORIES S.A.,2017,CONEX20175200000750,
material sanitario general diverso,SERVICIO ARAGONÉS DE SALUD,Abierto,Suministros,2200.0,2200.0,MENARINI DIAGNOSTICOS S.A.,2017,CONEX20175200000750,
prendas de trabajo guardería infantil n.s. carmen,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,81.44,81.44,INSERCION Y TRABAJO SL,2017,CONAD20171800000269,
evaluación y seguimiento técnico en materia de protección civil,PRESIDENCIA,Por administración,Servicios,227502.61,227502.61,SDAD ARAGONESA DE GESTION,2017,CONAD20171000000052,
145 hb72004. mto red senderos posets maladeta,DESARROLLO RURAL Y SOSTENIBILIDAD,Por administración,Servicios,280587.5,280587.5,SDAD ARAGONESA DE GESTION,2017,CONAD20171400000038,
obra emerg. estab. y consolid. talud en a-2609- salinas de sin,"VERTEBRACIÓN DEL TERRITORIO, MOVILIDAD Y VIVIENDA",Negociado,Obras,268595.04,268595.04,SANTIAGO ANGULO ALTEMIR SL,2017,CONAD20171300000026,
